2013-05-05 15:11:21 install e2fsprogs:armhf <none> 1.42.5-1ubuntu4
2013-05-05 15:11:21 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu4
2013-05-05 15:11:21 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-05-05 15:11:21 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-05-05 15:11:22 install findutils:armhf <none> 4.4.2-5ubuntu1
2013-05-05 15:11:22 status half-installed findutils:armhf 4.4.2-5ubuntu1
2013-05-05 15:11:22 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-05-05 15:11:22 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-05-05 15:11:22 install gcc-4.7-base:armhf <none> 4.7.3-1ubuntu1
2013-05-05 15:11:22 status half-installed gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-05-05 15:11:22 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-05-05 15:11:22 status unpacked gcc-4.7-base:armhf 4.7.3-1ubuntu1
2013-05-05 15:11:23 install grep:armhf <none> 2.14-1
2013-05-05 15:11:23 status half-installed grep:armhf 2.14-1
2013-05-05 15:11:23 status unpacked grep:armhf 2.14-1
2013-05-05 15:11:23 status unpacked grep:armhf 2.14-1
2013-05-05 15:11:23 install gzip:armhf <none> 1.5-1.1ubuntu1
2013-05-05 15:11:23 status half-installed gzip:armhf 1.5-1.1ubuntu1
2013-05-05 15:11:24 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-05-05 15:11:24 status unpacked gzip:armhf 1.5-1.1ubuntu1
2013-05-05 15:11:24 install hostname:armhf <none> 3.12ubuntu1
2013-05-05 15:11:24 status half-installed hostname:armhf 3.12ubuntu1
2013-05-05 15:11:24 status unpacked hostname:armhf 3.12ubuntu1
2013-05-05 15:11:24 status unpacked hostname:armhf 3.12ubuntu1
2013-05-05 15:11:24 install ifupdown:armhf <none> 0.7.5ubuntu2
2013-05-05 15:11:24 status half-installed ifupdown:armhf 0.7.5ubuntu2
2013-05-05 15:11:25 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-05-05 15:11:25 status unpacked ifupdown:armhf 0.7.5ubuntu2
2013-05-05 15:11:25 install initramfs-tools:all <none> 0.103ubuntu0.7
2013-05-05 15:11:25 status half-installed initramfs-tools:all 0.103ubuntu0.7
2013-05-05 15:11:25 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-05-05 15:11:26 status unpacked initramfs-tools:all 0.103ubuntu0.7
2013-05-05 15:11:26 install initramfs-tools-bin:armhf <none> 0.103ubuntu0.7
2013-05-05 15:11:26 status half-installed initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-05-05 15:11:26 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-05-05 15:11:26 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.7
2013-05-05 15:11:26 install initscripts:armhf <none> 2.88dsf-13.10ubuntu15
2013-05-05 15:11:26 status half-installed initscripts:armhf 2.88dsf-13.10ubuntu15
2013-05-05 15:11:26 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-05-05 15:11:27 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu15
2013-05-05 15:11:27 install insserv:armhf <none> 1.14.0-5ubuntu1
2013-05-05 15:11:27 status half-installed insserv:armhf 1.14.0-5ubuntu1
2013-05-05 15:11:27 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-05-05 15:11:27 status unpacked insserv:armhf 1.14.0-5ubuntu1
2013-05-05 15:11:27 install iproute:armhf <none> 20121211-2
2013-05-05 15:11:27 status half-installed iproute:armhf 20121211-2
2013-05-05 15:11:28 status unpacked iproute:armhf 20121211-2
2013-05-05 15:11:28 status unpacked iproute:armhf 20121211-2
2013-05-05 15:11:28 install klibc-utils:armhf <none> 2.0.1-3.1ubuntu1
2013-05-05 15:11:28 status half-installed klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-05-05 15:11:28 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-05-05 15:11:28 status unpacked klibc-utils:armhf 2.0.1-3.1ubuntu1
2013-05-05 15:11:28 install kmod:armhf <none> 9-3ubuntu1
2013-05-05 15:11:28 status half-installed kmod:armhf 9-3ubuntu1
2013-05-05 15:11:29 status unpacked kmod:armhf 9-3ubuntu1
2013-05-05 15:11:29 status unpacked kmod:armhf 9-3ubuntu1
2013-05-05 15:11:29 install libacl1:armhf <none> 2.2.51-8ubuntu3
2013-05-05 15:11:29 status half-installed libacl1:armhf 2.2.51-8ubuntu3
2013-05-05 15:11:29 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-05-05 15:11:29 status unpacked libacl1:armhf 2.2.51-8ubuntu3
2013-05-05 15:11:30 install libattr1:armhf <none> 1:2.4.46-8ubuntu2
2013-05-05 15:11:30 status half-installed libattr1:armhf 1:2.4.46-8ubuntu2
2013-05-05 15:11:30 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-05-05 15:11:30 status unpacked libattr1:armhf 1:2.4.46-8ubuntu2
2013-05-05 15:11:30 install libaudit-common:all <none> 1:2.2.2-1ubuntu4
2013-05-05 15:11:30 status half-installed libaudit-common:all 1:2.2.2-1ubuntu4
2013-05-05 15:11:30 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-05-05 15:11:30 status unpacked libaudit-common:all 1:2.2.2-1ubuntu4
2013-05-05 15:11:30 install libaudit1:armhf <none> 1:2.2.2-1ubuntu4
2013-05-05 15:11:30 status half-installed libaudit1:armhf 1:2.2.2-1ubuntu4
2013-05-05 15:11:31 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-05-05 15:11:31 status unpacked libaudit1:armhf 1:2.2.2-1ubuntu4
2013-05-05 15:11:31 install libblkid1:armhf <none> 2.20.1-5.1ubuntu8
